Antecedent,Knowledge_Gap,Support,Confidence,Lift,Support_%,Confidence_%,Frequency,Antecedent_Size
Business Capability=Hybrid connectivity and network foundation + Presales Category=Solution Architecture + Question Complexity=Medium,Public Documentation | Architecture Blueprint | Methodology | SME,0.07777777777777778,0.7142857142857143,1.5641293013555788,7.777777777777778,71.42857142857143,70,3
Business Capability=Hybrid connectivity and network foundation + Question Complexity=Medium,Public Documentation | Architecture Blueprint | Methodology | SME,0.09555555555555556,0.7107438016528925,1.5563732882910055,9.555555555555555,71.07438016528926,86,2
Presales Category=Solution Architecture + Question Complexity=Medium,Public Documentation | Architecture Blueprint | Methodology | SME,0.08444444444444445,0.7037037037037037,1.5409570154095702,8.444444444444445,70.37037037037037,76,2
Business Capability=Hybrid connectivity and network foundation + Question Intent=Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME,0.0811111111111111,0.6952380952380952,1.5224191866527632,8.11111111111111,69.52380952380952,73,2
Presales Category=Solution Architecture + Question Complexity=High,Public Documentation | Architecture Blueprint | Methodology | SME,0.21222222222222223,0.6945454545454545,1.5209024552090245,21.22222222222222,69.45454545454545,191,2
Business Capability=Hybrid connectivity and network foundation + Presales Category=Solution Architecture + Question Intent=Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME,0.06555555555555556,0.6941176470588236,1.5199656504937744,6.555555555555556,69.41176470588236,59,3
Business Capability=Hybrid connectivity and network foundation,Public Documentation | Architecture Blueprint | Methodology | SME,0.15888888888888889,0.6908212560386473,1.512747275997038,15.88888888888889,69.08212560386472,143,1
"Business Capability=Risk, compliance and identity control + Presales Category=Solution Architecture + Question Complexity=High",Public Documentation | Architecture Blueprint | Methodology | SME,0.12666666666666668,0.6867469879518073,1.503825521062352,12.666666666666668,68.67469879518073,114,3
"Business Capability=Risk, compliance and identity control + Presales Category=Solution Architecture",Public Documentation | Architecture Blueprint | Methodology | SME,0.12666666666666668,0.6867469879518073,1.503825521062352,12.666666666666668,68.67469879518073,114,2
Business Capability=Hybrid connectivity and network foundation + Presales Category=Solution Architecture,Public Documentation | Architecture Blueprint | Methodology | SME,0.13111111111111112,0.686046511627907,1.502291631301986,13.111111111111112,68.6046511627907,118,2
Presales Category=Solution Architecture,Public Documentation | Architecture Blueprint | Methodology | SME,0.31,0.6755447941888619,1.479295169756632,31.0,67.55447941888619,279,1
Question Intent=Determine implementation approach,Public Documentation | Governance Framework | Risk Register | SME,0.07333333333333333,0.3,1.4210526315789473,7.333333333333333,30.0,66,1
Question Type=Best Practice,Public Documentation | Architecture Blueprint | Methodology | SME,0.09555555555555556,0.6370370370370371,1.3949716139497161,9.555555555555555,63.70370370370371,86,1
"Business Capability=Risk, compliance and identity control + Question Complexity=High",Public Documentation | Governance Framework | Risk Register | SME,0.12111111111111111,0.2906666666666667,1.376842105263158,12.11111111111111,29.06666666666667,109,2
